,f1-score (trainset),f1-score (testset),training time,evaluate time,bias,varience
knn_activation_24,0.99872,0.9838969404186796,0.7442591579999771,5.046428586000047,0.0012799999999999478,0.014823059581320464
nb_activation_24,0.99904,0.9919484702093397,0.038713268000037715,0.005894818000115265,0.0009599999999999609,0.0070915297906603
logit_activation_24,1.0,0.9838969404186796,3.7382179950000136,0.006205673999829742,0.0,0.01610305958132041
nn_activation_24,1.0,0.9887278582930756,14.093686974000093,0.037389988000086305,0.0,0.011272141706924366
svm_activation_24,1.0,0.9468599033816425,1.43619248899995,0.006662120999862964,0.0,0.0531400966183575
knn_activation_25,0.99872,0.9838969404186796,0.7256348829998842,5.035991066000179,0.0012799999999999478,0.014823059581320464
nb_activation_25,0.99904,0.9919484702093397,0.03830634700011615,0.006509370999992825,0.0009599999999999609,0.0070915297906603
logit_activation_25,1.0,0.9838969404186796,3.7541878590000124,0.006097431999933178,0.0,0.01610305958132041
nn_activation_25,1.0,0.9935587761674718,12.727057164999906,0.036199425999939194,0.0,0.006441223832528209
svm_activation_25,1.0,0.9468599033816425,1.4313863699999274,0.006418725999992603,0.0,0.0531400966183575
knn_activation_26,0.99872,0.9838969404186796,0.7314403929999571,5.069398137999997,0.0012799999999999478,0.014823059581320464
nb_activation_26,0.99904,0.9919484702093397,0.03977473600002668,0.006873457999972743,0.0009599999999999609,0.0070915297906603
logit_activation_26,1.0,0.9838969404186796,3.729984282000032,0.006472255000062432,0.0,0.01610305958132041
nn_activation_26,1.0,0.9838969404186796,13.591177873000106,0.03799536399992576,0.0,0.01610305958132041
svm_activation_26,1.0,0.9468599033816425,1.4658811639999385,0.006984444999943662,0.0,0.0531400966183575
knn_activation_27,0.99872,0.9838969404186796,0.7422829800000272,5.010741248999921,0.0012799999999999478,0.014823059581320464
nb_activation_27,0.99904,0.9919484702093397,0.05980673199997,0.006826695000199834,0.0009599999999999609,0.0070915297906603
logit_activation_27,1.0,0.9838969404186796,3.722517213000174,0.006814080000140166,0.0,0.01610305958132041
nn_activation_27,1.0,0.9806763285024155,13.349443939000139,0.03489486900002703,0.0,0.019323671497584516
svm_activation_27,1.0,0.9468599033816425,1.4509642759999224,0.006496806000086508,0.0,0.0531400966183575
knn_activation_28,0.99872,0.9838969404186796,0.739291656999967,4.9774236569999175,0.0012799999999999478,0.014823059581320464
nb_activation_28,0.99904,0.9919484702093397,0.03892919600002642,0.0066069690001313575,0.0009599999999999609,0.0070915297906603
logit_activation_28,1.0,0.9838969404186796,3.712116473999913,0.006812001000071177,0.0,0.01610305958132041
nn_activation_28,1.0,0.9903381642512077,12.78251056399995,0.03510953900013192,0.0,0.009661835748792313
svm_activation_28,1.0,0.9468599033816425,1.4158535950000442,0.0064102419999017,0.0,0.0531400966183575
knn_activation_29,0.99872,0.9838969404186796,0.7339854120000382,5.007291787999975,0.0012799999999999478,0.014823059581320464
nb_activation_29,0.99904,0.9919484702093397,0.04095561400004044,0.006712769000159824,0.0009599999999999609,0.0070915297906603
logit_activation_29,1.0,0.9838969404186796,3.7004011189999346,0.006876692000105322,0.0,0.01610305958132041
nn_activation_29,1.0,0.9903381642512077,12.665720151000187,0.04506704699997499,0.0,0.009661835748792313
svm_activation_29,1.0,0.9468599033816425,1.417507687999887,0.0068407769999794255,0.0,0.0531400966183575
knn_activation_30,0.99872,0.9838969404186796,0.7322391849997985,4.98355278300005,0.0012799999999999478,0.014823059581320464
nb_activation_30,0.99904,0.9919484702093397,0.04137822100005906,0.006810729999870091,0.0009599999999999609,0.0070915297906603
logit_activation_30,1.0,0.9838969404186796,3.721487130000014,0.0067381840001417,0.0,0.01610305958132041
nn_activation_30,1.0,0.9774557165861514,12.667615757000021,0.03529613900013828,0.0,0.02254428341384862
svm_activation_30,1.0,0.9468599033816425,1.4374707819999912,0.006875861000025907,0.0,0.0531400966183575
knn_activation_31,0.99872,0.9838969404186796,0.7248786899999686,5.013168468999993,0.0012799999999999478,0.014823059581320464
nb_activation_31,0.99904,0.9919484702093397,0.05194389999996929,0.00673211999992418,0.0009599999999999609,0.0070915297906603
logit_activation_31,1.0,0.9838969404186796,3.663946510999949,0.0063062530000479455,0.0,0.01610305958132041
nn_activation_31,1.0,0.9919484702093397,12.785996578000095,0.03718375399989782,0.0,0.008051529790660261
svm_activation_31,1.0,0.9468599033816425,1.4296908939998048,0.0066468699999404635,0.0,0.0531400966183575
knn_activation_32,0.99872,0.9838969404186796,0.7256388780001544,4.939189620999969,0.0012799999999999478,0.014823059581320464
nb_activation_32,0.99904,0.9919484702093397,0.04179351700008738,0.006261977999884039,0.0009599999999999609,0.0070915297906603
logit_activation_32,1.0,0.9838969404186796,3.696822821000069,0.006602338999982749,0.0,0.01610305958132041
nn_activation_32,1.0,0.9838969404186796,15.655679144000032,0.03488643800005775,0.0,0.01610305958132041
svm_activation_32,1.0,0.9468599033816425,1.4163318920000165,0.0066983609999624605,0.0,0.0531400966183575
knn_activation_33,0.99872,0.9838969404186796,0.7281669980000061,4.988053081000089,0.0012799999999999478,0.014823059581320464
nb_activation_33,0.99904,0.9919484702093397,0.06458699800009526,0.006943458000023384,0.0009599999999999609,0.0070915297906603
logit_activation_33,1.0,0.9838969404186796,3.707740291999926,0.006185113999890746,0.0,0.01610305958132041
nn_activation_33,1.0,0.9903381642512077,12.521226222999985,0.03339380700003858,0.0,0.009661835748792313
svm_activation_33,1.0,0.9468599033816425,1.4104220350000105,0.00630972799990559,0.0,0.0531400966183575
knn_activation_34,0.99872,0.9838969404186796,0.7211434330001794,5.00506378099999,0.0012799999999999478,0.014823059581320464
nb_activation_34,0.99904,0.9919484702093397,0.04345066700011557,0.006683271999918361,0.0009599999999999609,0.0070915297906603
logit_activation_34,1.0,0.9838969404186796,3.7465899100000115,0.006526068000084706,0.0,0.01610305958132041
nn_activation_34,1.0,0.9871175523349437,13.30257560500013,0.035708935000002384,0.0,0.012882447665056307
svm_activation_34,1.0,0.9468599033816425,1.4354824360000293,0.006620266999789237,0.0,0.0531400966183575
knn_activation_35,0.99872,0.9838969404186796,0.7154857159998755,4.926064447000044,0.0012799999999999478,0.014823059581320464
nb_activation_35,0.99904,0.9919484702093397,0.043758054000136326,0.006392328999936581,0.0009599999999999609,0.0070915297906603
logit_activation_35,1.0,0.9838969404186796,3.671151302999988,0.006474435999962225,0.0,0.01610305958132041
nn_activation_35,1.0,0.9903381642512077,12.618735118000131,0.03387361299996883,0.0,0.009661835748792313
svm_activation_35,1.0,0.9468599033816425,1.4418968530001166,0.006488701000080255,0.0,0.0531400966183575
knn_activation_36,0.99872,0.9838969404186796,0.7556256190000568,4.935290241000075,0.0012799999999999478,0.014823059581320464
nb_activation_36,0.99904,0.9919484702093397,0.053939767000201755,0.006545939999796246,0.0009599999999999609,0.0070915297906603
logit_activation_36,1.0,0.9838969404186796,3.672104085000001,0.006099683000002187,0.0,0.01610305958132041
nn_activation_36,1.0,0.9855072463768116,13.268075290999832,0.03448995200005811,0.0,0.01449275362318836
svm_activation_36,1.0,0.9468599033816425,1.4046534990000055,0.006488501999911023,0.0,0.0531400966183575
knn_activation_37,0.99872,0.9838969404186796,0.7799459450000086,4.97417544100017,0.0012799999999999478,0.014823059581320464
nb_activation_37,0.99904,0.9919484702093397,0.0439805979999619,0.006432587000062995,0.0009599999999999609,0.0070915297906603
logit_activation_37,1.0,0.9838969404186796,3.7184400419998838,0.006919960999994146,0.0,0.01610305958132041
nn_activation_37,1.0,0.9871175523349437,12.523057656999981,0.034972461000052135,0.0,0.012882447665056307
svm_activation_37,1.0,0.9468599033816425,1.4020849860000908,0.006411408000076335,0.0,0.0531400966183575
knn_activation_38,0.99872,0.9838969404186796,0.7840527619998738,4.964994868000076,0.0012799999999999478,0.014823059581320464
nb_activation_38,0.99904,0.9919484702093397,0.046786999999994805,0.006727233999981763,0.0009599999999999609,0.0070915297906603
logit_activation_38,1.0,0.9838969404186796,3.672739309999997,0.006749747999947431,0.0,0.01610305958132041
nn_activation_38,1.0,0.9871175523349437,14.108513949000098,0.033795091000001776,0.0,0.012882447665056307
svm_activation_38,1.0,0.9468599033816425,1.426190877999943,0.006411197000034008,0.0,0.0531400966183575
knn_activation_39,0.99872,0.9838969404186796,0.7827855390000877,5.0343310130001555,0.0012799999999999478,0.014823059581320464
nb_activation_39,0.99904,0.9919484702093397,0.04275635899966801,0.007016705999831174,0.0009599999999999609,0.0070915297906603
logit_activation_39,1.0,0.9838969404186796,3.6609737180001503,0.006459114999870508,0.0,0.01610305958132041
nn_activation_39,1.0,0.9919484702093397,14.01841593600011,0.03911958100025004,0.0,0.008051529790660261
svm_activation_39,1.0,0.9468599033816425,1.4332221630002095,0.007112066999980016,0.0,0.0531400966183575
knn_activation_40,0.99872,0.9838969404186796,0.7714119140000548,4.93732750900017,0.0012799999999999478,0.014823059581320464
nb_activation_40,0.99904,0.9919484702093397,0.06265166699995461,0.006609630000184552,0.0009599999999999609,0.0070915297906603
logit_activation_40,1.0,0.9838969404186796,3.6721399009998095,0.007140831000015169,0.0,0.01610305958132041
nn_activation_40,1.0,0.9887278582930756,12.672788179000236,0.03319018699994558,0.0,0.011272141706924366
svm_activation_40,1.0,0.9468599033816425,1.4428524859999925,0.006754663000265282,0.0,0.0531400966183575
knn_activation_41,0.99872,0.9838969404186796,0.7281759110001076,4.928098044999842,0.0012799999999999478,0.014823059581320464
nb_activation_41,0.99904,0.9919484702093397,0.042897793000065576,0.006742318000306113,0.0009599999999999609,0.0070915297906603
logit_activation_41,1.0,0.9838969404186796,3.731878368999787,0.006521894999877986,0.0,0.01610305958132041
nn_activation_41,1.0,0.9919484702093397,16.183443357000215,0.0337692920002155,0.0,0.008051529790660261
svm_activation_41,1.0,0.9468599033816425,1.4083124759999919,0.006243199999971694,0.0,0.0531400966183575
knn_activation_42,0.99872,0.9838969404186796,0.7771476679999978,4.979436198999792,0.0012799999999999478,0.014823059581320464
nb_activation_42,0.99904,0.9919484702093397,0.053208154999992985,0.006630936999954429,0.0009599999999999609,0.0070915297906603
logit_activation_42,1.0,0.9838969404186796,3.6514146949998576,0.0065579629999774625,0.0,0.01610305958132041
nn_activation_42,1.0,0.9903381642512077,12.44557567999982,0.034817866000139475,0.0,0.009661835748792313
svm_activation_42,1.0,0.9468599033816425,1.438870840999698,0.006473105999702966,0.0,0.0531400966183575
knn_activation_43,0.99872,0.9838969404186796,0.749487912999939,4.952591106,0.0012799999999999478,0.014823059581320464
nb_activation_43,0.99904,0.9919484702093397,0.05847699299965825,0.006527365999772883,0.0009599999999999609,0.0070915297906603
logit_activation_43,1.0,0.9838969404186796,3.697910725999918,0.006138455000382237,0.0,0.01610305958132041
nn_activation_43,1.0,0.9838969404186796,12.379772304000198,0.037629911999829346,0.0,0.01610305958132041
svm_activation_43,1.0,0.9468599033816425,1.442363203000241,0.0066164969998681045,0.0,0.0531400966183575
knn_activation_44,0.99872,0.9838969404186796,0.7361926029998358,4.9817260069999065,0.0012799999999999478,0.014823059581320464
nb_activation_44,0.99904,0.9919484702093397,0.05667033999998239,0.006374565999976767,0.0009599999999999609,0.0070915297906603
logit_activation_44,1.0,0.9838969404186796,3.7451077720002104,0.006474184000126115,0.0,0.01610305958132041
nn_activation_44,1.0,0.9855072463768116,12.822225354000238,0.03700729699994554,0.0,0.01449275362318836
svm_activation_44,1.0,0.9468599033816425,1.4146150639999178,0.006668978000107018,0.0,0.0531400966183575
knn_activation_45,0.99872,0.9838969404186796,0.7653763170001184,4.91654657700019,0.0012799999999999478,0.014823059581320464
nb_activation_45,0.99904,0.9919484702093397,0.045386184999642865,0.00597264299995004,0.0009599999999999609,0.0070915297906603
logit_activation_45,1.0,0.9838969404186796,3.6581650979996994,0.005940291000115394,0.0,0.01610305958132041
nn_activation_45,1.0,0.9871175523349437,11.918868690999716,0.0363423009998769,0.0,0.012882447665056307
svm_activation_45,1.0,0.9468599033816425,1.4394555649996619,0.006481110000095214,0.0,0.0531400966183575
knn_activation_46,0.99872,0.9838969404186796,0.7416733410000234,4.9298683820002225,0.0012799999999999478,0.014823059581320464
nb_activation_46,0.99904,0.9919484702093397,0.06306976799987751,0.006562962999851152,0.0009599999999999609,0.0070915297906603
logit_activation_46,1.0,0.9838969404186796,3.7032867899997655,0.006379344999913883,0.0,0.01610305958132041
nn_activation_46,1.0,0.9903381642512077,12.563102245999744,0.03545479400008844,0.0,0.009661835748792313
svm_activation_46,1.0,0.9468599033816425,1.419971212999826,0.006552873999680742,0.0,0.0531400966183575
knn_activation_47,0.99872,0.9838969404186796,0.751756357999966,4.942085342000155,0.0012799999999999478,0.014823059581320464
nb_activation_47,0.99904,0.9919484702093397,0.059605097000257956,0.006525968999994802,0.0009599999999999609,0.0070915297906603
logit_activation_47,1.0,0.9838969404186796,3.6682210939998185,0.006723879000219313,0.0,0.01610305958132041
nn_activation_47,1.0,0.9887278582930756,14.122892617000161,0.03610934299967994,0.0,0.011272141706924366
svm_activation_47,1.0,0.9468599033816425,1.421079469000233,0.006979152999974758,0.0,0.0531400966183575
knn_activation_48,0.99872,0.9838969404186796,0.779492904000108,4.967661250000219,0.0012799999999999478,0.014823059581320464
nb_activation_48,0.99904,0.9919484702093397,0.0581837749996339,0.006759825000244746,0.0009599999999999609,0.0070915297906603
logit_activation_48,1.0,0.9838969404186796,3.681111353000233,0.006347545000153332,0.0,0.01610305958132041
nn_activation_48,1.0,0.9871175523349437,13.239218580999932,0.03410899000027712,0.0,0.012882447665056307
svm_activation_48,1.0,0.9468599033816425,1.458735205999801,0.006847696000022552,0.0,0.0531400966183575
